 WL        Abs       T%
 190.0  2.848857   0.141626
 191.0  2.727582   0.187248
 192.0  3.324125   0.047411
 193.0  3.034395   0.092386
 194.0  3.164634   0.068449
 195.0  3.077757   0.083607
 196.0  3.298083   0.050340
 197.0  3.448159   0.035632
 198.0  3.403793   0.039465
 199.0  3.485743   0.032678
 200.0  3.289440   0.051352
 201.0  3.206491   0.062160
 202.0  3.329947   0.046779
 203.0  3.528253   0.029631
 204.0  3.307237   0.049290
 205.0  3.390509   0.040690
 206.0  3.583510   0.026091
 207.0  3.617941   0.024102
 208.0  3.449565   0.035517
 209.0  3.389606   0.040775
 210.0  3.506819   0.031130
 211.0  3.680916   0.020849
 212.0  3.584207   0.026049
 213.0  3.473047   0.033648
 214.0  3.511197   0.030818
 215.0  3.357471   0.043907
 216.0  3.815410   0.015296
 217.0  3.772493   0.016885
 218.0  3.605871   0.024782
 219.0  3.500634   0.031577
 220.0  3.776619   0.016726
 221.0  3.885424   0.013019
 222.0  3.658475   0.021955
 223.0  3.923835   0.011917
 224.0  3.792809   0.016114
 225.0  3.797546   0.015939
 226.0  3.629674   0.023460
 227.0  3.628400   0.023529
 228.0  4.224698   0.005961
 229.0  3.796299   0.015985
 230.0  3.991933   0.010187
 231.0  3.798128   0.015917
 232.0  3.864180   0.013672
 233.0  3.944464   0.011364
 234.0  4.063164   0.008646
 235.0  4.011746   0.009733
 236.0  3.859003   0.013836
 237.0  3.978289   0.010513
 238.0  3.976931   0.010546
 239.0  4.057375   0.008762
 240.0  4.377131   0.004196
 241.0  4.213265   0.006120
 242.0  4.070666   0.008498
 243.0  4.010796   0.009754
 244.0  4.089789   0.008132
 245.0  3.996618   0.010078
 246.0  3.977091   0.010542
 247.0  3.990376   0.010224
 248.0  4.285724   0.005179
 249.0  4.076768   0.008380
 250.0  3.806454   0.015615
 251.0  3.955062   0.011090
 252.0  4.127250   0.007460
 253.0  3.949680   0.011228
 254.0  3.929775   0.011755
 255.0  3.876939   0.013276
 256.0  4.029063   0.009353
 257.0  3.991241   0.010204
 258.0  4.023561   0.009472
 259.0  4.044316   0.009030
 260.0  4.074385   0.008426
 261.0  3.892342   0.012813
 262.0  3.821334   0.015089
 263.0  3.986178   0.010323
 264.0  4.241347   0.005737
 265.0  3.956434   0.011055
 266.0  3.757490   0.017479
 267.0  3.817737   0.015215
 268.0  3.721559   0.018986
 269.0  3.731932   0.018538
 270.0  3.829105   0.014822
 271.0  3.605577   0.024798
 272.0  3.706519   0.019655
 273.0  3.767966   0.017062
 274.0  3.838964   0.014489
 275.0  3.700373   0.019936
 276.0  3.605218   0.024819
 277.0  3.680048   0.020891
 278.0  3.613763   0.024335
 279.0  3.800389   0.015835
 280.0  3.796820   0.015965
 281.0  3.707062   0.019631
 282.0  3.685439   0.020633
 283.0  3.659393   0.021908
 284.0  3.662382   0.021758
 285.0  3.575689   0.026565
 286.0  3.528347   0.029625
 287.0  3.486863   0.032594
 288.0  3.499965   0.031625
 289.0  3.504146   0.031322
 290.0  3.329814   0.046794
 291.0  3.236930   0.057952
 292.0  3.166955   0.068084
 293.0  3.029892   0.093349
 294.0  2.941433   0.114437
 295.0  2.815761   0.152841
 296.0  2.698108   0.200397
 297.0  2.616720   0.241702
 298.0  2.475119   0.334874
 299.0  2.375274   0.421430
 300.0  2.281630   0.522842
 301.0  2.171851   0.673208
 302.0  2.107324   0.781045
 303.0  1.999018   1.002263
 304.0  1.923661   1.192171
 305.0  1.855833   1.393694
 306.0  1.788932   1.625804
 307.0  1.722317   1.895323
 308.0  1.657366   2.201072
 309.0  1.602349   2.498339
 310.0  1.546319   2.842371
 311.0  1.492185   3.219695
 312.0  1.443427   3.602242
 313.0  1.393625   4.039936
 314.0  1.349553   4.471436
 315.0  1.311039   4.886085
 316.0  1.276348   5.292398
 317.0  1.244445   5.695799
 318.0  1.213061   6.122641
 319.0  1.183631   6.551920
 320.0  1.155647   6.988008
 321.0  1.130400   7.406283
 322.0  1.105916   7.835816
 323.0  1.084288   8.235915
 324.0  1.062433   8.660970
 325.0  1.041408   9.090590
 326.0  1.021358   9.520100
 327.0  1.003971   9.908984
 328.0  0.988081  10.278255
 329.0  0.974354  10.608314
 330.0  0.960540  10.951159
 331.0  0.947564  11.283309
 332.0  0.935398  11.603838
 333.0  0.924225  11.906244
 334.0  0.913300  12.209565
 335.0  0.903949  12.475307
 336.0  0.894725  12.743102
 337.0  0.885400  13.019680
 338.0  0.876855  13.278391
 339.0  0.872734  13.404973
 340.0  0.874665  13.345508
 341.0  0.867567  13.565399
 342.0  0.861135  13.767829
 343.0  0.854574  13.977377
 344.0  0.848436  14.176348
 345.0  0.842557  14.369531
 346.0  0.837382  14.541788
 347.0  0.831955  14.724660
 348.0  0.826721  14.903167
 349.0  0.821665  15.077707
 350.0  0.816482  15.258701
 351.0  0.811574  15.432127
 352.0  0.806653  15.607994
 353.0  0.802684  15.751296
 354.0  0.801340  15.800094
 355.0  0.790641  16.194197
 356.0  0.780730  16.568005
 357.0  0.772683  16.877853
 358.0  0.765935  17.142122
 359.0  0.760673  17.351107
 360.0  0.756674  17.511595
 361.0  0.753836  17.626400
 362.0  0.752553  17.678545
 363.0  0.752089  17.697481
 364.0  0.752546  17.678862
 365.0  0.754383  17.604235
 366.0  0.757160  17.492008
 367.0  0.749974  17.783863
 368.0  0.746816  17.913645
 369.0  0.743514  18.050364
 370.0  0.741389  18.138901
 371.0  0.737881  18.286015
 372.0  0.735034  18.406290
 373.0  0.731969  18.536625
 374.0  0.729028  18.662615
 375.0  0.726013  18.792608
 376.0  0.723052  18.921181
 377.0  0.720148  19.048111
 378.0  0.717153  19.179926
 379.0  0.713798  19.328653
 380.0  0.710419  19.479662
 381.0  0.706852  19.640297
 382.0  0.703263  19.803278
 383.0  0.699447  19.978027
 384.0  0.696356  20.120745
 385.0  0.692271  20.310915
 386.0  0.688354  20.494915
 387.0  0.684552  20.675116
 388.0  0.680446  20.871532
 389.0  0.676409  21.066450
 390.0  0.672522  21.255835
 391.0  0.668664  21.445469
 392.0  0.664911  21.631605
 393.0  0.660908  21.831924
 394.0  0.657467  22.005571
 395.0  0.653616  22.201595
 396.0  0.650125  22.380774
 397.0  0.646444  22.571247
 398.0  0.643100  22.745729
 399.0  0.639335  22.943787
 400.0  0.635627  23.140507
 401.0  0.631939  23.337843
 402.0  0.628501  23.523325
 403.0  0.624940  23.717018
 404.0  0.621400  23.911139
 405.0  0.618149  24.090799
 406.0  0.614657  24.285252
 407.0  0.611367  24.469927
 408.0  0.608065  24.656723
 409.0  0.604924  24.835665
 410.0  0.601617  25.025488
 411.0  0.598225  25.221737
 412.0  0.594991  25.410242
 413.0  0.591760  25.599985
 414.0  0.588485  25.793795
 415.0  0.585485  25.972548
 416.0  0.582308  26.163252
 417.0  0.579335  26.342987
 418.0  0.576296  26.527971
 419.0  0.573230  26.715918
 420.0  0.570251  26.899820
 421.0  0.567266  27.085331
 422.0  0.564476  27.259876
 423.0  0.561793  27.428783
 424.0  0.558942  27.609468
 425.0  0.556195  27.784653
 426.0  0.553407  27.963575
 427.0  0.550541  28.148756
 428.0  0.547897  28.320637
 429.0  0.545241  28.494343
 430.0  0.542584  28.669231
 431.0  0.540033  28.838118
 432.0  0.537570  29.002129
 433.0  0.535159  29.163609
 434.0  0.532790  29.323103
 435.0  0.530511  29.477411
 436.0  0.528109  29.640844
 437.0  0.525715  29.804693
 438.0  0.523165  29.980200
 439.0  0.520787  30.144865
 440.0  0.518479  30.305445
 441.0  0.516152  30.468266
 442.0  0.513919  30.625372
 443.0  0.511687  30.783152
 444.0  0.509519  30.937227
 445.0  0.507406  31.088079
 446.0  0.505188  31.247292
 447.0  0.503049  31.401560
 448.0  0.501027  31.548120
 449.0  0.499032  31.693321
 450.0  0.497361  31.815531
 451.0  0.494847  32.000237
 452.0  0.492689  32.159599
 453.0  0.490796  32.300076
 454.0  0.488657  32.459553
 455.0  0.486716  32.604954
 456.0  0.484705  32.756332
 457.0  0.482896  32.893059
 458.0  0.481040  33.033901
 459.0  0.479112  33.180904
 460.0  0.477347  33.316002
 461.0  0.475493  33.458534
 462.0  0.473816  33.587986
 463.0  0.471892  33.737091
 464.0  0.470030  33.882107
 465.0  0.468246  34.021526
 466.0  0.466449  34.162613
 467.0  0.464713  34.299431
 468.0  0.463050  34.431019
 469.0  0.461424  34.560219
 470.0  0.459811  34.688744
 471.0  0.458084  34.826984
 472.0  0.456731  34.935677
 473.0  0.455068  35.069717
 474.0  0.453470  35.198944
 475.0  0.451790  35.335373
 476.0  0.450231  35.462486
 477.0  0.448755  35.583237
 478.0  0.447152  35.714809
 479.0  0.445580  35.844299
 480.0  0.444164  35.961327
 481.0  0.442584  36.092457
 482.0  0.441106  36.215431
 483.0  0.439750  36.328716
 484.0  0.438337  36.447136
 485.0  0.436844  36.572586
 486.0  0.435462  36.689209
 487.0  0.433953  36.816868
 488.0  0.432585  36.933075
 489.0  0.431096  37.059914
 490.0  0.429651  37.183357
 491.0  0.428175  37.309940
 492.0  0.426799  37.428402
 493.0  0.425475  37.542679
 494.0  0.424059  37.665249
 495.0  0.422668  37.786137
 496.0  0.421392  37.897278
 497.0  0.420014  38.017735
 498.0  0.418738  38.129555
 499.0  0.417350  38.251671
